_id,user_community,tweet_community,ecommerce_community,blog_community,label
5d648f847d7dbe4bc487d1af,0,-2,-1,-2,-1
5d648f847d7dbe4bc487d1b3,25,-2,-1,-2,-1
5d648f847d7dbe4bc487d1d8,0,-2,-1,-2,-1
5d648f847d7dbe4bc487d1fc,0,-2,-1,-2,-1
5d648f847d7dbe4bc487d348,0,-2,-1,-2,-1
5d648f857d7dbe4bc487d4c9,0,-2,-1,-2,-1
5d648f857d7dbe4bc487d462,0,-2,108,5,-1
5d648f857d7dbe4bc487d4cb,38,-2,-1,-2,-1
5d648f857d7dbe4bc487d4cc,0,-2,-1,-2,-1
5d648f857d7dbe4bc487d4e7,0,-2,-1,-2,-1
5d648f857d7dbe4bc487d55f,0,0,-1,-2,-1
5d648f867d7dbe4bc487d5fa,0,-2,-1,-2,-1
5d648f867d7dbe4bc487d615,0,-2,-1,-2,-1
5d648f867d7dbe4bc487d632,29,0,60,-2,-1
5d648f867d7dbe4bc487d693,3,-2,-1,-2,-1
5d648f867d7dbe4bc487d697,0,-2,-1,-2,-1
5d648f867d7dbe4bc487d76d,0,-2,-1,-2,-1
5d648f867d7dbe4bc487d79d,11,-2,-1,-2,-1
5d648f867d7dbe4bc487d7bd,0,-2,-1,-2,-1
5d648f877d7dbe4bc487d881,0,-2,-1,-2,-1
5d648f877d7dbe4bc487d886,11,-2,-1,-2,-1
5d648f877d7dbe4bc487d890,11,-2,-1,-2,-1
5d648f877d7dbe4bc487d897,3,0,-1,-2,-1
5d648f877d7dbe4bc487d8a1,30,-1,126,-2,-1
5d648f877d7dbe4bc487d8d3,0,62,156,5,-1
5d648f877d7dbe4bc487d90a,0,-2,-1,-2,-1
5d648f877d7dbe4bc487d980,10,-2,-1,-2,-1
5d648f877d7dbe4bc487d9df,3,-2,-1,-2,-1
5d636a784285a7c3317bc9c1,0,0,1,5,-1
5d636a724285a7c3317bc7e9,0,-2,-1,-2,-1
5d636aa24285a7c3317c1a8d,33,0,100,-2,-1
5d636a914285a7c3317bd2ad,0,-2,-1,-2,-1
5d636aae4285a7c3317c1aa3,8,-1,-1,-2,-1
5d636abd4285a7c3317c1c94,20,-2,139,-1,-1
5d636ac54285a7c3317c1cc4,0,-2,-1,-2,-1
5d636b294285a7c3317c2cab,31,-2,-1,-2,-1
5d636b574285a7c3317c3278,3,-2,-1,-2,-1
5d636b5b4285a7c3317c32d8,0,0,97,-1,-1
5d636b814285a7c3317c3643,4,-2,-1,-2,-1
5d636b794285a7c3317c3624,20,-2,-1,-2,-1
5d636b8f4285a7c3317c3775,0,-1,165,-2,-1
5d636bac4285a7c3317c3a89,31,0,103,-2,-1
5d636bb14285a7c3317c3a9c,31,0,59,-2,-1
5d636bc14285a7c3317c3b43,4,91,39,-2,-1
5d636bec4285a7c3317c41c1,0,-2,-1,-2,-1
5d636bed4285a7c3317c41c2,31,-2,-1,-2,-1
5d636c054285a7c3317c4610,4,-1,152,-1,-1
5d636c3e4285a7c3317c554d,5,-2,107,9,-1
5d636c594285a7c3317c5bdc,11,-1,-1,-2,-1
5d636c5a4285a7c3317c5bde,4,-2,-1,-2,-1
5d636c5c4285a7c3317c5bdf,5,-2,-1,-2,-1
5d636c7c4285a7c3317c5c92,0,-2,-1,-2,-1
5d636c8f4285a7c3317c5d9d,0,0,-1,-2,-1
5d636ccc4285a7c3317c6ff8,0,-2,-1,-2,-1
5d636d3c4285a7c3317c9050,0,-2,-1,-2,-1
5d636d314285a7c3317c8f94,4,0,128,-1,-1
5d636d654285a7c3317c93df,11,0,-1,-2,-1
5d636d734285a7c3317c9538,0,-2,-1,-2,-1
5d636d7b4285a7c3317c96ac,0,0,-1,-2,-1
5d636d934285a7c3317c9b0a,0,-2,-1,-2,-1
5d648f897d7dbe4bc487dd93,0,-2,-1,-2,-1
5d648f897d7dbe4bc487ddb9,0,-2,-1,-2,-1
5d648f897d7dbe4bc487de84,0,-2,-1,-2,-1
5d648f897d7dbe4bc487dec2,0,-2,43,5,-1
